     640,      130
     640,      131
     640,      134
     640,      136
     640,      137
     640,      136
     640,      138
     640,      147
     640,      156
     640,      157
     640,      157
     640,      155
     640,      153
     640,      153
     640,      154
     633,      157
     625,      161
     616,      163
     608,      165
     599,      164
     594,      164
     587,      164
     582,      164
     575,      168
     565,      170
     555,      170
     547,      169
     542,      167
     538,      168
     534,      173
     526,      178
     515,      181
     506,      180
     499,      179
     493,      179
     486,      180
     479,      181
     471,      183
     463,      184
     455,      185
     449,      184
     443,      184
     438,      184
     432,      185
     427,      187
     420,      188
     413,      190
     406,      190
     401,      190
     396,      192
     390,      196
     384,      201
     376,      203
     370,      206
     363,      208
     358,      211
     353,      215
     348,      219
     342,      223
     336,      228
     329,      232
     321,      236
     315,      239
     307,      243
     301,      246
     295,      249
     290,      250
     284,      253
     279,      256
     273,      257
     268,      259
     263,      260
     257,      261
     253,      261
     250,      261
     247,      263
     244,      263
     241,      265
     238,      266
     235,      267
     233,      267
     232,      268
     230,      269
     230,      269
     230,      270
     229,      273
     228,      274
     228,      276
     229,      277
     230,      282
     229,      285
     227,      287
     227,      288
     226,      290
     225,      291
     224,      293
     223,      294
     222,      297
     220,      297
     219,      297
     219,      298
     218,      300
     218,      301
     218,      302
     220,      302
     221,      305
     221,      307
     221,      309
     221,      311
     221,      313
     220,      313
     221,      314
     222,      315
     222,      316
     224,      316
     227,      316
     229,      318
     230,      319
     232,      320
     235,      322
     235,      326
     234,      328
     234,      330
     234,      333
     233,      334
     232,      335
     233,      337
     233,      338
     234,      339
     234,      340
     233,      342
     232,      343
     232,      342
     233,      344
     232,      346
     232,      347
     230,      350
     228,      351
     228,      351
     228,      353
     228,      354
     228,      356
     227,      357
     226,      359
     224,      360
     222,      362
     220,      364
     217,      366
     215,      368
     212,      370
     210,      371
     209,      372
     207,      376
     204,      380
     201,      382
     198,      386
     194,      391
